id,video_id,url1_views,url2_views,total_views,tier,created_at
8343c75c-4fe1-420c-a09c-9e887c0dfd5c,a680c74c-1f60-4e89-b6a8-baa8766cce16,5591,118281,123872,,2025-11-23 14:31:02.538371+00
89fa8f48-c7af-4334-aa84-f69e0f3c804f,7ecf4f60-30e3-49b9-9fc0-4952c22b681c,49656,175617,225273,,2025-11-23 14:30:59.752912+00
8f85020c-d746-456e-83de-f04674cb07aa,110f7596-a09d-4810-a3eb-9578734ebcb7,44550,695969,740519,,2025-11-23 14:31:06.119953+00
91de2c22-d513-44d5-b66f-055741cafae1,e6106f7a-6fed-4fcb-8791-f41b2ade2583,136200,526307,662507,,2025-11-23 14:31:16.980476+00
93a8f5c0-b2c9-424d-8640-b00dc6b4398a,c745f26f-123d-4ee1-bc25-2daefcda76b5,8525,145410,153935,,2025-11-23 14:31:04.284717+00
99447c81-f6a3-4387-b2db-927a58ee37b2,9027103a-8df1-4881-8c95-cdd023786ed5,268023,499489,767512,,2025-11-23 14:31:00.502805+00
9b064838-f21f-46b3-b0f0-47545c6414cb,c92d5f2e-d870-461b-87b6-5ef487fc8d07,16667,61558,78225,,2025-11-23 14:31:12.673634+00
9c2d6dde-114a-4d38-9ad5-8b8502e49ff2,bd7c2760-7a65-478f-8299-a16537c0d690,507259,2264839,2772098,silver,2025-11-23 14:27:26.319293+00
a003f5d7-5b4c-44e9-9aba-10483d5cc368,d6fe2d41-dcaa-4fdb-a1a7-4bc3cfcceff9,39797,152828,192625,,2025-11-23 14:30:58.424349+00
a19a6489-aa4e-4381-a201-e9e429bf0c77,75c710a9-d96d-49b4-a15b-fa8c424498d4,80372,934993,1065365,silver,2025-11-23 14:27:19.837618+00
a2b67fad-ed14-4593-bb26-d036625846a7,8730f3b4-ee6f-47cd-819d-c4dee54c3939,434876,905935,1340811,silver,2025-11-23 14:27:25.00161+00
a5b08cd9-383a-4a88-a9fc-f9dcd586a13d,abf0287f-0f5b-4597-9dee-6e24e85cbe56,18488,87240,105728,,2025-11-23 14:31:18.627356+00
a7534f80-50f6-4b29-a8aa-dbb9cd3c4f51,67a8b925-777c-4cdf-a03f-c0ce26a5abfd,135173,0,135173,,2025-11-23 14:31:24.502104+00
a8a3eae0-dc44-4c98-8784-a9ddd2fbfd35,a48ae28a-30b7-4cc5-9130-dc87bb3f7072,148844,1104344,1253188,silver,2025-11-23 14:30:58.078516+00
a9d6ffdc-87c2-4610-9775-0cc71e60b7fd,cbebbc07-31eb-416a-89f9-2875f4709a9e,257060,1224128,1531188,silver,2025-11-23 14:31:11.331836+00
ab30dc33-f041-4605-b056-6052c820ebab,a48ae28a-30b7-4cc5-9130-dc87bb3f7072,148833,1104161,1252994,silver,2025-11-23 14:27:12.370805+00
b6f3df7e-43fc-46fc-9b24-7746daf3567b,3eeba625-1325-4be3-8923-35197a0ed1da,3655,48852,52507,,2025-11-23 14:31:08.256531+00
ba1bddfb-174d-42a2-9c5e-ae80adda14ae,e9237ff5-3c2b-4a95-9884-4318f7e27246,245636,770627,1016263,silver,2025-11-23 14:31:10.654205+00
bb0945b6-c412-4619-8c91-329a81c58c1a,e878661b-0953-4e95-b205-b310c33dca71,47182,147957,245139,,2025-11-23 14:30:58.759172+00
bf41cecc-0c34-41b7-bf01-37df6559585e,cbebbc07-31eb-416a-89f9-2875f4709a9e,257031,1224128,1531159,silver,2025-11-23 14:27:26.02141+00
c5cd65cf-800c-4001-aaf1-870b45080ee8,a9e6b197-ffe2-4446-a24d-3da9420e301a,41634,325205,416839,,2025-11-23 14:31:07.451556+00
c6270fd8-f785-427c-8bf0-d78c61251f4b,e2046a1f-db57-424b-8e9a-e84e2e88e09d,21110,63562,84672,,2025-11-23 14:31:13.612527+00
c678d926-bfef-4e36-b7fe-870ab1dc715a,75c710a9-d96d-49b4-a15b-fa8c424498d4,80375,934993,1065368,silver,2025-11-23 14:31:05.029043+00
c6c3f242-6a55-4126-99ea-10a563a7ff7c,3aa93637-cd7c-4067-88bc-1572b649c621,153271,731171,884442,,2025-11-23 14:31:00.834391+00
c8f49db3-2e29-4844-ac7b-f7fabc1cdf03,6f4a3454-4093-40ed-9250-e5ef1019df2d,53458,331618,435076,,2025-11-23 14:31:01.500621+00
ca310145-c8b2-4fe2-9ace-3d74b31a9978,e4fb8b5f-3815-4299-bf14-16f82aedadb2,14516,84438,98954,,2025-11-23 14:31:23.346276+00
cdc88934-0e07-4817-b276-dab77ba86412,3cbfc098-7d52-48f9-98be-10e6e4f26bab,30457,210261,240718,,2025-11-23 14:31:05.731504+00
ce2b2a3c-060f-4485-9d9e-eafdb7ab5f42,33a42d4e-f871-46d2-b168-c87ff7487af4,16433,51597,68030,,2025-11-23 14:31:05.37926+00
ce58b4e1-0413-4437-8eba-c1c9ee0846bb,5f18cffb-fd6d-46fe-8604-1bb2c1939fb5,4893,30330,35223,,2025-11-23 14:31:09.675062+00
d5c44329-c1f9-4b17-aa2a-9d0e8660530e,23da6121-f16d-4340-bee4-fc95791d884b,16429,114565,130994,,2025-11-23 14:31:20.101388+00
d781f768-e9dc-49de-9901-5219bd6e1c79,41e38a73-ba83-41d0-aed2-77942c9d160a,38474,232114,270588,,2025-11-23 14:30:59.423271+00
df3fb26a-8605-4e15-9ba5-bbf21259c036,4c177d59-99d8-4d90-9260-6f7cf80e3b17,18682,104238,122920,,2025-11-23 14:31:19.342046+00
e2a3d2f9-dd8e-4459-ab16-3972230ec42a,349197cb-4b72-443a-86d4-1b1b5f7703e5,2849,65726,68575,,2025-11-23 14:31:20.479816+00
ea15f628-c79c-469c-a941-cfb4a4e349a5,82345bb7-6c8c-4369-9edb-9fccabf891b9,33407,243774,327181,,2025-11-23 14:31:15.719859+00
ebfa0d8a-77ef-400b-8cab-7a65b4de950d,5c50b0a2-217f-4cab-bcf8-66b06bf3bbb6,3163,58094,61257,,2025-11-23 14:31:18.986156+00
edddb3c2-ae39-4329-8578-a0fa9a600add,2a237505-5695-42c5-b869-a551097c524b,21309,72614,93923,,2025-11-23 14:31:12.981394+00
ee2d9ac5-33a1-439f-b411-e03ee137cb3c,bd7c2760-7a65-478f-8299-a16537c0d690,507289,2264839,2772128,silver,2025-11-23 14:31:11.69513+00
eea658c9-592f-47c2-93c9-98008270f120,96ade704-71b1-4f39-8e9b-7c1caa930856,22088,73247,95335,,2025-11-23 14:31:22.593265+00
f258c57f-b318-437a-a4d7-663d06f8503e,d042d44a-0517-4c96-a772-0e6566bd0936,14014,97505,111519,,2025-11-23 14:31:17.8112+00
f3314ee3-42ae-498c-8677-7e7dcb18f4da,e774bdf3-daee-4a2e-84d4-9c6d1f14d4ef,11452,117740,129192,,2025-11-23 14:31:02.220971+00
f43703b7-c2b2-4c6b-ba8e-696bfafa6cd1,1f889964-3a52-4be8-92fa-6d43be2da42b,9668,36758,46426,,2025-11-23 14:31:21.163613+00
f9e11a41-c095-4af7-b669-18ed3d66ea8d,3678fe7e-ca2b-4907-a17e-a07d4cdf22c8,10036,106263,116299,,2025-11-23 14:31:22.215231+00
fa34011d-7f64-4b12-bf46-fdab5ad87455,c975c79d-6434-4893-8b41-1ec235d5b3da,22179,130619,202798,,2025-11-23 14:31:15.390768+00
fea2f824-f28a-49f5-83fd-a9507cd7fc62,80aa3e80-988d-4917-b0d1-89c6f71a100f,6261,52113,58374,,2025-11-23 14:31:08.918445+00
